"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_0230" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0231" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0232" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0233" "Bacteria" NA NA NA NA NA NA
"ASV_0234" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" NA
"ASV_0235" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" NA
"ASV_0236" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0237" "Bacteria" "Actinobacteria" "Actinobacteria" "Mycobacteriales" "Corynebacteriaceae" "Corynebacterium" "amycolatum"
"ASV_0238" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0239" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Colidextribacter" NA
"ASV_0240" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0241" "Bacteria" NA NA NA NA NA NA
"ASV_0242" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerotruncus" NA
"ASV_0243" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "aureus/cohnii/lugdunensis/nepalensis"
"ASV_0244" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Neglecta" NA
"ASV_0245" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0246" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0247" "Bacteria" "Bacteroidetes" "Chitinophagia" "Chitinophagales" "Chitinophagaceae" "Sediminibacterium" "salmoneum"
"ASV_0248" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Massiliimalia" NA
"ASV_0249" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Atopobiaceae" NA NA
"ASV_0250" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0251" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" "butyriciproducens"
"ASV_0252" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" NA
"ASV_0253" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0254" "Bacteria" NA NA NA NA NA NA
"ASV_0255" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0256" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0257" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0258" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0259" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0260" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "senegalensis"
"ASV_0261" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Butyrivibrio" NA
"ASV_0262" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Oscillibacter" NA
"ASV_0263" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longibaculum" NA
"ASV_0264" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Dysosmobacter" NA
"ASV_0265" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Pelomonas" "aquatica/saccharophila/soli"
"ASV_0266" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Pseudoramibacter" NA
"ASV_0267" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0268" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Flavonifractor" "plautii"
"ASV_0269" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" NA
"ASV_0270" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Butyricicoccus" NA
"ASV_0271" "Bacteria" NA NA NA NA NA NA
"ASV_0272" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0273" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0274" "Bacteria" "Bacteroidetes" "Chitinophagia" "Chitinophagales" "Chitinophagaceae" NA NA
"ASV_0275" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Enterocloster" NA
"ASV_0276" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0277" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0278" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0279" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0280" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" NA NA
"ASV_0281" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0282" "Bacteria" NA NA NA NA NA NA
"ASV_0283" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0284" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0285" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingopyxis" NA
"ASV_0286" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0287" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0288" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0289" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA NA
"ASV_0290" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0291" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0292" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" NA
"ASV_0293" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Butyricicoccus" NA
"ASV_0294" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0295" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Colidextribacter" NA
"ASV_0296" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Acidovorax" NA
"ASV_0297" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0298" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0299" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0300" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0301" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0302" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bradyrhizobium" NA
"ASV_0303" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0304" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0305" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" NA
"ASV_0306" "Bacteria" NA NA NA NA NA NA
"ASV_0307" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0308" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" NA
"ASV_0309" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus" "avium/gilvus"
"ASV_0310" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0311" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Barnesiellaceae" "Barnesiella" NA
"ASV_0312" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Acetanaerobacterium" NA
"ASV_0313" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Flavonifractor" "plautii"
"ASV_0314" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0315" "Bacteria" "Firmicutes" "Clostridia" NA NA NA NA
"ASV_0316" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0317" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0318" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Mediterraneibacter" NA
"ASV_0319" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0320" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0321" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0322" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Erythrobacteraceae" NA NA
"ASV_0323" "Bacteria" NA NA NA NA NA NA
"ASV_0324" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longibaculum" NA
"ASV_0325" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Parasutterella" NA
"ASV_0326" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0327" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Agathobacter" NA
"ASV_0328" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0329" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Christensenellaceae" NA NA
"ASV_0330" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0331" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0332" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Ligilactobacillus" NA
"ASV_0333" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0334" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" NA
"ASV_0335" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Paludicola" NA
"ASV_0336" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0337" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Gemmiger" NA
"ASV_0338" "Bacteria" "Deferribacteres" "Deferribacteres" "Deferribacterales" "Deferribacteraceae" "Mucispirillum" "schaedleri"
"ASV_0339" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Colidextribacter" NA
"ASV_0340" "Bacteria" "Actinobacteria" "Coriobacteriia" NA NA NA NA
"ASV_0341" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0342" "Bacteria" "Firmicutes" "Clostridia" NA NA NA NA
"ASV_0343" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" NA
"ASV_0344" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0345" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" NA NA NA
"ASV_0346" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Marvinbryantia" NA
"ASV_0347" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" NA
"ASV_0348" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0349" "Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA NA
"ASV_0350" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Caulobacter" NA
"ASV_0351" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0352" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Ligilactobacillus" NA
"ASV_0353" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0354" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Boseaceae" "Bosea" NA
"ASV_0355" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" NA
"ASV_0356" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0357" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "aerolatum/brachiatum/dankookense/fujisawaense/komagatae/longum/mesophilicum/oryzae/phyllosphaerae/phyllostachyos/pseudosasicola/radiotolerans/tardum"
"ASV_0358" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0359" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Ligilactobacillus" NA
"ASV_0360" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Oscillibacter" "valericigenes"
"ASV_0361" "Bacteria" NA NA NA NA NA NA
"ASV_0362" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" NA NA
"ASV_0363" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0364" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ethanoligenens" NA
"ASV_0365" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0366" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "hydrogenotrophica"
"ASV_0367" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0368" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0369" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerofilum" NA
"ASV_0370" "Bacteria" NA NA NA NA NA NA
"ASV_0371" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Morganellaceae" "Morganella" "morganii"
"ASV_0372" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "methylpentosum"
"ASV_0373" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0374" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Pelomonas" "aquatica/puraquae/saccharophila"
"ASV_0375" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Breznakia" NA
"ASV_0376" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0377" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0378" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Marvinbryantia" NA
"ASV_0379" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Aquabacterium" "commune"
"ASV_0380" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0381" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longibaculum" NA
"ASV_0382" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0383" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0384" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Massiliimalia" NA
"ASV_0385" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes" NA
"ASV_0386" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0387" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Curvibacter" "delicatus/fontanus"
"ASV_0388" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0389" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0390" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA
"ASV_0391" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Anaerofustis" "stercorihominis"
"ASV_0392" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoanaerobaculum" NA
"ASV_0393" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0394" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0395" "Bacteria" NA NA NA NA NA NA
"ASV_0396" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Phocea" NA
"ASV_0397" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0398" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0399" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0400" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" NA NA
"ASV_0401" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Christensenellaceae" "Christensenella" NA
"ASV_0402" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0403" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" NA NA NA
"ASV_0404" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0405" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0406" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0407" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" NA
"ASV_0408" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longibaculum" NA
"ASV_0409" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Akkermansiaceae" "Akkermansia" NA
"ASV_0410" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0411" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0412" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0413" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0414" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Parasutterella" NA
"ASV_0415" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Eubacteriaceae" "Pseudoramibacter" NA
"ASV_0416" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" NA NA NA
"ASV_0417" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Enterococcaceae" "Enterococcus" "lemanii"
"ASV_0418" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotellamassilia" NA
"ASV_0419" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" NA NA
"ASV_0420" "Bacteria" NA NA NA NA NA NA
"ASV_0421" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Faecalibacillus" NA
"ASV_0422" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0423" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Parasutterella" NA
"ASV_0424" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA NA
"ASV_0425" "Bacteria" NA NA NA NA NA NA
"ASV_0426" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0427" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0428" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerotruncus" NA
"ASV_0429" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0430" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0431" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" NA NA
"ASV_0432" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0433" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" NA NA
"ASV_0434" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0435" "Bacteria" "Actinobacteria" "Coriobacteriia" NA NA NA NA
"ASV_0436" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Phocaeicola" NA
"ASV_0437" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0438" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Flavonifractor" NA
"ASV_0439" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0440" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Weeksellaceae" "Chryseobacterium" "profundimaris/taeanense/taichungense/takakiae"
"ASV_0441" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0442" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Ralstonia" "insidiosa"
"ASV_0443" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Muribaculaceae" "Paramuribaculum" NA
"ASV_0444" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" NA NA NA
"ASV_0445" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" NA NA
"ASV_0446" "Bacteria" NA NA NA NA NA NA
"ASV_0447" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Monoglobus" NA
"ASV_0448" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" NA NA NA
"ASV_0449" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0450" "Bacteria" NA NA NA NA NA NA
"ASV_0451" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" NA
"ASV_0452" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" NA
"ASV_0453" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Morganellaceae" "Morganella" "morganii"
"ASV_0454" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia" NA
"ASV_0455" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Acetanaerobacterium" NA
"ASV_0456" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingopyxis" "alaskensis/chilensis/ginsengisoli/granuli/indica/macrogoltabida/panaciterrae/soli/witflariensis"
"ASV_0457" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0458" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" NA NA
"ASV_0459" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0460" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0461" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" NA
"ASV_0462" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0463" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Escherichia/Shigella" NA
"ASV_0464" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" NA
"ASV_0465" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Harryflintia" NA
"ASV_0466" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA
"ASV_0467" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0468" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"ASV_0469" "Bacteria" "Firmicutes" NA NA NA NA NA
"ASV_0470" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA NA
"ASV_0471" "Bacteria" "Actinobacteria" NA NA NA NA NA
"ASV_0472" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Chromatiales" NA NA NA
"ASV_0473" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Reyranellaceae" "Reyranella" "massiliensis/soli"
"ASV_0474" "Bacteria" "Firmicutes" "Clostridia" NA NA NA NA
"ASV_0475" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerofilum" NA
